freq_radius,gt_avg,classical_avg,deep_avg
0.0,1.0,1.0,1.0
0.6516516516516516,0.35779896422423074,0.3577913638824416,0.35782523339651845
1.3033033033033032,0.06086651997876776,0.060326950715914,0.06036455386537126
1.954954954954955,0.0062668006880766845,0.0062479806819651295,0.006270906096019494
2.6066066066066065,0.003761361967344845,0.003755316584494716,0.0037697448710207263
3.258258258258258,0.0026395038889711945,0.002634701888793824,0.0026452633574625926
3.90990990990991,0.0018643716709646205,0.001858926291393883,0.001866525628028168
4.561561561561561,0.0013694492137184572,0.001364449894451834,0.0013699618295527581
5.213213213213213,0.0010776540676819784,0.001073304517325858,0.0010774990980560123
5.864864864864865,0.0008588223966957689,0.0008550090619487138,0.0008583250422239928
6.516516516516516,0.0006693659998134776,0.0006657029012356902,0.0006682577472993428
7.168168168168168,0.0005173462986046556,0.000513754058719279,0.0005157236803700546
7.81981981981982,0.00044180182424652175,0.0004382199428722365,0.00044001583380403795
8.471471471471471,0.0003704253137134882,0.0003669966524300376,0.0003685892269638709
9.123123123123122,0.0003097561757314019,0.00030630278884566657,0.00030769969119253245
9.774774774774775,0.00026331432273388894,0.00025983187408819123,0.0002610567008476885
10.426426426426426,0.0002355183669130632,0.00023233931982303643,0.0002334590559631028
11.078078078078077,0.0002123636440518106,0.00020914876785923075,0.00021017896362564458
11.72972972972973,0.0001859572325948646,0.00018273579657343152,0.0001836681292833928
12.381381381381381,0.00016600734234957122,0.00016289865439537559,0.00016378827329523738
13.033033033033032,0.0001553552534516086,0.00015194410868034724,0.00015284408817593963
13.684684684684685,0.0001367740484727743,0.00013378562937111732,0.00013460410470344072
14.336336336336336,0.00012108780305719297,0.00011806999719438296,0.0001188069425730515
14.987987987987987,0.00011189087612421929,0.00010880439897804832,0.00010949480022029524
15.63963963963964,0.00010328608050678722,0.00010024658542110827,0.00010088808429793456
16.29129129129129,9.419123929162907e-05,9.121485693208453e-05,9.181664811051994e-05
16.942942942942942,8.545812005334745e-05,8.247457971202914e-05,8.304709317496318e-05
17.594594594594593,7.87974990754232e-05,7.59086466212009e-05,7.646751915043165e-05
18.246246246246244,7.14714422042301e-05,6.864102280472762e-05,6.916507348178726e-05
18.8978978978979,6.360981101018646e-05,6.0974165328683424e-05,6.145091771996765e-05
19.54954954954955,5.801380358004609e-05,5.545762281696868e-05,5.590824116707479e-05
20.2012012012012,5.431039992329242e-05,5.175173183115279e-05,5.21914087578417e-05
20.852852852852852,5.027467895190539e-05,4.779178275146581e-05,4.82077325240379e-05
21.504504504504503,4.736578342473606e-05,4.484242981754283e-05,4.524768652743615e-05
22.156156156156154,4.500466467064461e-05,4.249496868193788e-05,4.2895337873702786e-05
22.807807807807805,4.239194848612771e-05,3.991293218046499e-05,4.029753450965256e-05
23.45945945945946,3.9394961274965616e-05,3.696881590061109e-05,3.733693011046068e-05
24.11111111111111,3.694876546841436e-05,3.45191707114352e-05,3.4878814309175646e-05
24.762762762762762,3.5291735348391294e-05,3.2909223546780736e-05,3.327187903303857e-05
25.414414414414413,3.318635897996719e-05,3.0794064660500706e-05,3.114846677213227e-05
26.066066066066064,3.092299558939312e-05,2.8601889169791137e-05,2.894332363145331e-05
26.717717717717715,2.9355227222212856e-05,2.703522372538224e-05,2.7370444826412156e-05
27.36936936936937,2.8104683055604303e-05,2.579030102024216e-05,2.6120457137592575e-05
28.02102102102102,2.6852705219363856e-05,2.4546506141444442e-05,2.4868371666416752e-05
28.67267267267267,2.54218606603415e-05,2.3162832738799954e-05,2.347594004436062e-05
29.324324324324323,2.411364485523328e-05,2.1868077071797744e-05,2.217566435393758e-05
29.975975975975974,2.2938815524339126e-05,2.0740818039950304e-05,2.104761668024711e-05
