image_id,highres_low,highres_med,highres_high,classical_low,classical_med,classical_high,deeplearn_low,deeplearn_med,deeplearn_high
img001,0.9882344668684104,0.010190156661486403,0.0015753764691032522,0.9994617727376208,0.0004920959430034336,4.613131837571656e-05,0.9977348442243056,0.0021920104212458736,7.314535344853444e-05
img002,0.9922662743292646,0.007139055137567446,0.0005946705321679379,0.9997815132528262,0.0001994566321472968,1.9030114026618316e-05,0.9984826695761766,0.0014780170987728246,3.931332405060593e-05
img003,0.9764719244431123,0.02104628606294193,0.0024817894929458125,0.9997206673032979,0.00025401323680947327,2.5319458892577003e-05,0.9969716235414159,0.0029667615894093716,6.161486817474021e-05
img004,0.9844285451918744,0.014753557457893314,0.0008178973492323088,0.999572570785941,0.00038967324830453524,3.7755964754625085e-05,0.9952247698032053,0.004658466901115451,0.00011676329467923465
img005,0.9888980764284632,0.010272578655099455,0.0008293449154372954,0.9997468946052928,0.00023115562061873295,2.194977308843028e-05,0.9954618085011874,0.004436699908937826,0.00010149158887472818
img006,0.9599603732014069,0.03690318556844213,0.003136441229150873,0.9997861414976623,0.0001936274872357067,2.0231014101952184e-05,0.9954171213977732,0.004482878314607903,0.00010000028661897755
img007,0.9969358661934795,0.0028624343578107407,0.00020169944770979812,0.9996921254105241,0.00028114345362345805,2.673113485239702e-05,0.9990856022499738,0.0008774498375909364,3.694791143523038e-05
img008,0.975758369971539,0.021424879834528197,0.0028167501929328605,0.9997627707162502,0.00021586705583218692,2.1362226917726366e-05,0.9968255924558618,0.003112496556893592,6.191098624458196e-05
img009,0.9991142294328678,0.0008331603621924831,5.261020393976325e-05,0.9999648274348312,3.186672216695815e-05,3.3058420019558817e-06,0.9997307361069003,0.0002630073935629896,6.2564985366478785e-06
img010,0.9942816797415002,0.004879213592149151,0.0008391066653507777,0.9999450647878247,4.990051870420656e-05,5.0346924710909906e-06,0.9986447082177442,0.0013334763678833942,2.1815413372345875e-05
img011,0.972643330955825,0.026218776874515196,0.0011378921686598438,0.9998345989712027,0.00015164407008781957,1.3756957709467837e-05,0.9919556440854862,0.007888251421859005,0.0001561044916548237
img012,0.9775236101986121,0.01971500366904061,0.002761386131347284,0.99984797940521,0.00013750693745182542,1.4513656338171253e-05,0.9982418574661363,0.0017153180704922884,4.282446237140675e-05
img013,0.9943038638553725,0.005111552656798338,0.0005845834868292103,0.9999230694044442,6.915606689738595e-05,7.774527658420116e-06,0.9989043080197137,0.0010716764062136317,2.401557307261534e-05
img014,0.9774703849220739,0.019233032584398027,0.003296582492528039,0.9998037574851302,0.00017907015097100916,1.7172362898757944e-05,0.9984222743357131,0.0015415949788981545,3.6130684388792676e-05
img015,0.9794830187450154,0.017037110532409954,0.003479870721574655,0.9996188581236538,0.0003481636033541524,3.2978271992068396e-05,0.9953683172583323,0.004517383839393262,0.00011429890127449631
img016,0.9911392507680558,0.008383172062884914,0.00047757716805926125,0.9999433556627031,5.099253064020751e-05,5.651805656688535e-06,0.9968925035303253,0.0030459769426870384,6.151952598771129e-05
img017,0.9919791921095247,0.007374964981430604,0.0006458429080447392,0.9999068586187078,8.437025813999365e-05,8.771122152240952e-06,0.9989836181833935,0.0009957576061654992,2.0624209441058627e-05
img018,0.9903650470072527,0.008443254165760082,0.0011916988259872818,0.9997129262618533,0.00026158871394796844,2.5485023198718202e-05,0.9988021337245381,0.00116008596027532,3.778031418655468e-05
img019,0.968144039683508,0.028343426146545305,0.003512534168946651,0.9997514959471538,0.0002262283480394035,2.2275703806834497e-05,0.9931231020274212,0.006738647771597692,0.00013825019998120656
img020,0.9863076996986991,0.012496949082574777,0.0011953512177261243,0.9999195847529118,7.276855233223415e-05,7.646693755981986e-06,0.9981359910235382,0.0018328115911658426,3.119738429587931e-05
img021,0.9974514028965422,0.0022337932365859214,0.00031480386587196663,0.9999674698781845,2.894714195306433e-05,3.5829788622679187e-06,0.9996048800511963,0.0003848322679714243,1.0287679832351146e-05
img022,0.9688018491748842,0.02778741295187557,0.003410737872240239,0.9999337169371487,5.7401944516782686e-05,8.881117334494155e-06,0.9989119138136915,0.0010667164818773554,2.1369703431183455e-05
img023,0.9912127070421782,0.008206164849400231,0.0005811281074216026,0.999364031184838,0.0005806649397378402,5.53038744242579e-05,0.9972937138075715,0.002613440703300018,9.284548812856571e-05
img024,0.9793804959670035,0.019465805112711346,0.0011536989192851995,0.9999934216520858,5.303304367192017e-06,1.2750425470022624e-06,0.9965817313609786,0.003379405659694497,3.886297832693673e-05
img025,0.9941595467528174,0.0051151920814203064,0.0007252611647623543,0.9998263873704248,0.00015827806479304002,1.5334563782126977e-05,0.9981366538638602,0.0018150856720231957,4.82604631165707e-05
img026,0.9939094411952034,0.0046833488245008395,0.0014072099792958117,0.9999445212325064,5.0248081465612885e-05,5.230685027903066e-06,0.9990476818316296,0.000936390104135031,1.592806323538839e-05
img027,0.9908320718465308,0.008084457381369505,0.0010834707710997845,0.9998748988183065,0.00011319232989517854,1.1908850798440666e-05,0.9990849006160766,0.0008889264148908702,2.617296803264174e-05
img028,0.9956934184506083,0.003908763462041061,0.00039781808635052274,0.9998445451060758,0.00014154080536121175,1.3914087563029873e-05,0.9989170093863252,0.0010519963217071422,3.09942909676042e-05
img029,0.9918724288441227,0.007391843344861568,0.0007357278100156142,0.9999724143094175,2.455940413895306e-05,3.026285443564954e-06,0.9975378800584997,0.0024295382322305978,3.258170826964563e-05
img030,0.9871008058571995,0.012111082740495318,0.0007881114013051591,0.9998016601724398,0.00018050217956882184,1.7837646991425267e-05,0.9963201532965185,0.003620776548867457,5.9070153613960834e-05
img031,0.9749689456382791,0.021894600820102212,0.0031364535406187477,0.9997001603761677,0.00027265064015861404,2.7188982673690718e-05,0.9982349505344552,0.0017164449598687345,4.86045046759526e-05
img032,0.9958479380071347,0.003715164527233309,0.00043689746463200334,0.999642831365986,0.00032684210290896275,3.0326530104969368e-05,0.9988119616288292,0.0011493931680088905,3.8645202161855554e-05
img033,0.9876370585937952,0.011003518441854945,0.0013594229633498661,0.9995004189539868,0.0004566019238017961,4.297912121146406e-05,0.9972183280267555,0.0027031151696304224,7.855680261409378e-05
img034,0.9794575156008789,0.018031401346060332,0.002511083052060717,0.9996365804752183,0.00033116355739865494,3.225596638304868e-05,0.9976298225779158,0.0023058182515999052,6.435916948432477e-05
img035,0.991898671497454,0.007293923634158337,0.0008074048673876903,0.9999601228255619,3.557520985885504e-05,4.301963579260088e-06,0.9979656983681219,0.0019818111075264933,5.249052335157636e-05
img036,0.9920908268811754,0.007041039052928669,0.0008681340648959071,0.9997099509051027,0.0002648783559645944,2.5170737932678574e-05,0.9976269728735462,0.002311245743917416,6.178138153647032e-05
img037,0.996240835262707,0.003605854950016781,0.00015330978627620728,0.9999566336515469,3.895869774683613e-05,4.407649706327107e-06,0.999152379995531,0.0008264363161877748,2.118368728118282e-05
img038,0.9873930965385801,0.011308878043393098,0.0012980254170267972,0.999932514577454,5.985140002343357e-05,7.63402152258391e-06,0.9970481654906677,0.0029154291521030756,3.640535622936964e-05
img039,0.9837632552555564,0.013848948920077412,0.0023877958233661702,0.999834235362373,0.0001511734018033424,1.4591234823705118e-05,0.9976446010873923,0.00231258508981791,4.28138217898561e-05
img040,0.9815796753255789,0.016779611607373058,0.0016407130660481381,0.9996010312361897,0.0003647861529210124,3.4182609889274506e-05,0.9914973211716862,0.008329041704633043,0.0001736371226807281
img041,0.9862563467002312,0.012487087115411745,0.0012565661833570058,0.9998740191676552,0.00011414916477664703,1.183166656824726e-05,0.9940400511919817,0.0058347111700902034,0.00012523763692817464
img042,0.9965171564217112,0.003247510187377663,0.00023533338991118502,0.9998546214913872,0.00013252269433206834,1.2855813280843339e-05,0.9989380186254362,0.0010338787408604563,2.81026327032665e-05
img043,0.9892434820283345,0.00960349832426436,0.0011530196464012586,0.9995619483559391,0.0004006621249985813,3.738951806231283e-05,0.9937110637186993,0.006100782636792354,0.00018815364350833276
img044,0.9984436368535886,0.001510887380618925,4.547576479250332e-05,0.9998020200232913,0.00017935619276047483,1.862378294813419e-05,0.9985432943560436,0.0014184082668056905,3.8297376150647166e-05
img045,0.9849211149754928,0.013995490698152797,0.001083394325354338,0.9998743023126333,0.00011394328504124961,1.1754401325576898e-05,0.9962921243501889,0.0036451151664336815,6.276048237747743e-05
img046,0.9865595488622325,0.012528127371138714,0.0009123237656288388,0.9999675837288038,2.893459838761139e-05,3.4816718084856856e-06,0.9993012635382182,0.0006862366650951883,1.2499795686603604e-05
img047,0.9747103609379958,0.021302091185081348,0.003987547875922847,0.9996848999633653,0.0002877384674303804,2.736156820426503e-05,0.9964156869652055,0.003507354113032825,7.695892076162742e-05
img048,0.9599988441398358,0.03574135055882093,0.00425980530034331,0.9999047150560689,8.621938979293313e-05,9.065553138185461e-06,0.9955904405857287,0.004324348618414286,8.521079485706228e-05
img049,0.9824270199902184,0.01615369719253318,0.0014192828162484464,0.9997965705761835,0.00018532952946752554,1.809989334903064e-05,0.9961733608601352,0.0037378451243580873,8.879401450676958e-05
img050,0.9937545876700915,0.005590036689129046,0.0006553756397794945,0.9998727035423268,0.00011596224652882616,1.1334210144408272e-05,0.9991715106368636,0.0008033141469945188,2.517521514180326e-05
img051,0.9939452805787627,0.005676015023124635,0.000378704397112603,0.999863445683084,0.00012382906147998443,1.272525443593886e-05,0.9990698329606434,0.000905874417074417,2.4292621282162056e-05
